ep : ,1,    ,ep_step : ,13,    ,state : ,70522.910206,-1.353916,-26988.6475,0.870319,-0.000266,2.093333,    ,"ecc,a,inc:",0.870258,51410.540781,22.499307,    ,"Reward,score : ",1.0676,3.6843,    ,    ,Normalized_State: ,0.54399,-1e-05,-0.208181,0.870319,-0.000266,0.333164,    ,    ,action_values : ,2.156581,0.213,0.0004,    ,    ,Mass : ,1199.9656035761375,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,14,    ,state : ,70515.828996,0.897618,-26984.450974,0.870258,-0.00042,2.267778,    ,"ecc,a,inc:",0.870169,51366.420436,22.494895,    ,"Reward,score : ",1.5381,5.2224,    ,    ,Normalized_State: ,0.543935,7e-06,-0.208149,0.870258,-0.00042,0.360928,    ,    ,action_values : ,1.853054,0.2647,0.0004,    ,    ,Mass : ,1199.946358559688,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,15,    ,state : ,70508.013257,6.210392,-26976.443826,0.870169,-0.000602,2.442222,    ,"ecc,a,inc:",0.87004,51320.602585,22.466406,    ,"Reward,score : ",2.4604,7.6828,    ,    ,Normalized_State: ,0.543875,4.8e-05,-0.208087,0.870169,-0.000602,0.388692,    ,    ,action_values : ,1.553122,0.653,0.0004,    ,    ,Mass : ,1199.9136659077985,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,16,    ,state : ,70508.995803,30.166643,-26944.408591,0.87004,-0.000653,2.616667,    ,"ecc,a,inc:",0.869738,51285.735797,22.373287,    ,"Reward,score : ",4.8396,12.5225,    ,    ,Normalized_State: ,0.543882,0.000233,-0.20784,0.87004,-0.000653,0.416455,    ,    ,action_values : ,1.119217,0.8099,0.0004,    ,    ,Mass : ,1199.8550189065913,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,17,    ,state : ,70561.387455,82.154741,-26858.310328,0.869738,-0.000309,2.791111,    ,"ecc,a,inc:",0.869115,51287.861609,22.102458,    ,"Reward,score : ",10.5765,23.099,    ,    ,Normalized_State: ,0.544286,0.000634,-0.207176,0.869738,-0.000309,0.444219,    ,    ,action_values : ,0.58479,1.0692,0.0004,    ,    ,Mass : ,1199.747393109993,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,18,    ,state : ,70719.50475,169.100901,-26608.667592,0.869115,0.000549,2.965556,    ,"ecc,a,inc:",0.868007,51318.354879,21.632484,    ,"Reward,score : ",17.8266,40.9256,    ,    ,Normalized_State: ,0.545506,0.001304,-0.20525,0.869115,0.000549,0.471983,    ,    ,action_values : ,0.107902,1.096,0.0004,    ,    ,Mass : ,1199.5614752026681,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,19,    ,state : ,71018.187012,219.946051,-26180.046765,0.868006,0.00114,3.14,    ,"ecc,a,inc:",0.866812,51349.45337,21.169778,    ,"Reward,score : ",17.9467,58.8723,    ,    ,Normalized_State: ,0.54781,0.001697,-0.201944,0.868006,0.00114,0.499747,    ,    ,action_values : ,-0.198161,1.0565,0.0004,    ,    ,Mass : ,1199.2993275176468,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,20,    ,state : ,71337.835401,174.519211,-25761.837398,0.866812,0.000627,3.314444,    ,"ecc,a,inc:",0.866199,51347.751419,20.894471,    ,"Reward,score : ",10.7624,69.6347,    ,    ,Normalized_State: ,0.550276,0.001346,-0.198718,0.866812,0.000627,0.52751,    ,    ,action_values : ,-0.677619,1.07,0.0004,    ,    ,Mass : ,1199.0358739579156,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,21,    ,state : ,71488.816788,87.602806,-25496.182036,0.866199,-0.000122,3.488889,    ,"ecc,a,inc:",0.865988,51316.395179,20.782466,    ,"Reward,score : ",4.9537,74.5884,    ,    ,Normalized_State: ,0.55144,0.000676,-0.196669,0.866199,-0.000122,0.555274,    ,    ,action_values : ,-1.246056,1.0138,0.0004,    ,    ,Mass : ,1198.847498667662,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,22,    ,state : ,71519.26739,25.015702,-25376.515442,0.865988,-0.000379,3.663333,    ,"ecc,a,inc:",0.865854,51266.280691,20.756214,    ,"Reward,score : ",2.519,77.1074,    ,    ,Normalized_State: ,0.551675,0.000193,-0.195746,0.865988,-0.000379,0.583038,    ,    ,action_values : ,-1.598343,0.5696,0.0004,    ,    ,Mass : ,1198.7377111988803,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
