ep : ,1,    ,ep_step : ,1,    ,state : ,67288.41965,0.0,-32107.2589,0.7306,0.0,0.0,    ,"ecc,a,inc:",0.730604,24364.407971,28.500018,    ,"Reward,score : ",-0.0028,-0.0028,    ,    ,Normalized_State: ,0.51904,0.0,-0.247664,0.7306,0.0,0.0,    ,    ,action_values : ,1.05235,0.1115,0.0,    ,    ,Mass : ,1200.0,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,2,    ,state : ,67288.513817,0.001857,-32107.322433,0.730604,5e-06,0.174444,    ,"ecc,a,inc:",0.730604,24364.407971,28.500018,    ,"Reward,score : ",-0.003,-0.0058,    ,    ,Normalized_State: ,0.519041,0.0,-0.247665,0.730604,5e-06,0.027764,    ,    ,action_values : ,0.827848,-0.0147,0.0,    ,    ,Mass : ,1199.9980244347726,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,3,    ,state : ,67288.513817,0.001857,-32107.322433,0.730604,5e-06,0.348889,    ,"ecc,a,inc:",0.730604,24364.407971,28.500018,    ,"Reward,score : ",-0.003,-0.0088,    ,    ,Normalized_State: ,0.519041,0.0,-0.247665,0.730604,5e-06,0.055527,    ,    ,action_values : ,0.976392,-0.9345,0.0,    ,    ,Mass : ,1199.9980244347726,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,4,    ,state : ,67288.513817,0.001857,-32107.322433,0.730604,5e-06,0.523333,    ,"ecc,a,inc:",0.730604,24364.407971,28.500018,    ,"Reward,score : ",-0.003,-0.0118,    ,    ,Normalized_State: ,0.519041,0.0,-0.247665,0.730604,5e-06,0.083291,    ,    ,action_values : ,0.5114,-0.8518,0.0,    ,    ,Mass : ,1199.9980244347726,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,5,    ,state : ,67288.513817,0.001857,-32107.322433,0.730604,5e-06,0.697778,    ,"ecc,a,inc:",0.730604,24364.407971,28.500018,    ,"Reward,score : ",-0.003,-0.0148,    ,    ,Normalized_State: ,0.519041,0.0,-0.247665,0.730604,5e-06,0.111055,    ,    ,action_values : ,1.034705,0.0142,0.0,    ,    ,Mass : ,1199.9980244347726,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,6,    ,state : ,67288.513817,0.001857,-32107.322433,0.730604,5e-06,0.872222,    ,"ecc,a,inc:",0.730604,24364.407971,28.500018,    ,"Reward,score : ",-0.003,-0.0178,    ,    ,Normalized_State: ,0.519041,0.0,-0.247665,0.730604,5e-06,0.138818,    ,    ,action_values : ,1.118649,0.1823,0.0,    ,    ,Mass : ,1199.9980244347726,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,7,    ,state : ,67288.513817,0.001857,-32107.322433,0.730604,5e-06,1.046667,    ,"ecc,a,inc:",0.730604,24364.407971,28.500018,    ,"Reward,score : ",-0.003,-0.0208,    ,    ,Normalized_State: ,0.519041,0.0,-0.247665,0.730604,5e-06,0.166582,    ,    ,action_values : ,1.005198,0.0369,0.0,    ,    ,Mass : ,1199.9980244347726,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,8,    ,state : ,67288.513817,0.001857,-32107.322433,0.730604,5e-06,1.221111,    ,"ecc,a,inc:",0.73061,24365.245742,28.500042,    ,"Reward,score : ",0.0042,-0.0165,    ,    ,Normalized_State: ,0.519041,0.0,-0.247665,0.730604,5e-06,0.194346,    ,    ,action_values : ,0.42863,0.1894,0.0003,    ,    ,Mass : ,1199.9980244347726,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,9,    ,state : ,67289.039512,0.108846,-32107.598079,0.73061,2.3e-05,1.395556,    ,"ecc,a,inc:",0.730617,24366.197104,28.500076,    ,"Reward,score : ",0.006,-0.0105,    ,    ,Normalized_State: ,0.519045,1e-06,-0.247667,0.73061,2.3e-05,0.22211,    ,    ,action_values : ,0.232548,0.6253,0.0003,    ,    ,Mass : ,1199.9938482461007,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,10,    ,state : ,67289.688842,0.588313,-32107.942888,0.730617,4.6e-05,1.57,    ,"ecc,a,inc:",0.73062,24367.140241,28.50003,    ,"Reward,score : ",0.0149,0.0043,    ,    ,Normalized_State: ,0.51905,5e-06,-0.24767,0.730617,4.6e-05,0.249873,    ,    ,action_values : ,0.363701,0.5018,0.0003,    ,    ,Mass : ,1199.9886273134805,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,11,    ,state : ,67290.678605,1.166111,-32108.368147,0.73062,7.7e-05,1.744444,    ,"ecc,a,inc:",0.730627,24368.907839,28.499863,    ,"Reward,score : ",0.0301,0.0345,    ,    ,Normalized_State: ,0.519057,9e-06,-0.247673,0.73062,7.7e-05,0.277637,    ,    ,action_values : ,-0.025473,0.4127,0.0003,    ,    ,Mass : ,1199.9818868564594,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,12,    ,state : ,67292.383483,1.885469,-32109.008407,0.730627,0.000125,1.918889,    ,"ecc,a,inc:",0.730626,24370.588961,28.499226,    ,"Reward,score : ",0.0585,0.093,    ,    ,Normalized_State: ,0.519071,1.5e-05,-0.247678,0.730627,0.000125,0.305401,    ,    ,action_values : ,0.068115,0.6202,0.0003,    ,    ,Mass : ,1199.9728966809062,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,13,    ,state : ,67294.82628,3.463855,-32109.516638,0.730625,0.000189,2.093333,    ,"ecc,a,inc:",0.730615,24372.428997,28.497483,    ,"Reward,score : ",0.1139,0.2069,    ,    ,Normalized_State: ,0.519089,2.7e-05,-0.247682,0.730625,0.000189,0.333164,    ,    ,action_values : ,0.024118,0.7727,0.0003,    ,    ,Mass : ,1199.960521203721,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,14,    ,state : ,67298.456183,6.346392,-32109.449607,0.730615,0.000275,2.267778,    ,"ecc,a,inc:",0.73058,24374.346171,28.49384,    ,"Reward,score : ",0.2224,0.4293,    ,    ,Normalized_State: ,0.519117,4.9e-05,-0.247681,0.730615,0.000275,0.360928,    ,    ,action_values : ,0.149196,0.7539,0.0003,    ,    ,Mass : ,1199.943002580267,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,15,    ,state : ,67304.797043,10.570031,-32108.712349,0.73058,0.000393,2.442222,    ,"ecc,a,inc:",0.730521,24376.177403,28.4851,    ,"Reward,score : ",0.4211,0.8505,    ,    ,Normalized_State: ,0.519166,8.2e-05,-0.247676,0.73058,0.000393,0.388692,    ,    ,action_values : ,0.150504,0.9557,0.0003,    ,    ,Mass : ,1199.9177184103655,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,16,    ,state : ,67313.527026,17.664289,-32103.849531,0.730521,0.000532,2.616667,    ,"ecc,a,inc:",0.730411,24378.226107,28.469023,    ,"Reward,score : ",0.7498,1.6003,    ,    ,Normalized_State: ,0.519234,0.000136,-0.247638,0.730521,0.000532,0.416455,    ,    ,action_values : ,0.216175,0.9532,0.0003,    ,    ,Mass : ,1199.8811447428798,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,17,    ,state : ,67327.974529,26.357872,-32094.127244,0.730411,0.000688,2.791111,    ,"ecc,a,inc:",0.730271,24380.724492,28.441303,    ,"Reward,score : ",1.1711,2.7713,    ,    ,Normalized_State: ,0.519345,0.000203,-0.247563,0.730411,0.000688,0.444219,    ,    ,action_values : ,-0.017918,1.0745,0.0003,    ,    ,Mass : ,1199.8296513868804,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,18,    ,state : ,67346.247788,34.987632,-32074.184079,0.73027,0.00083,2.965556,    ,"ecc,a,inc:",0.730108,24383.198798,28.404385,    ,"Reward,score : ",1.4911,4.2624,    ,    ,Normalized_State: ,0.519486,0.00027,-0.247409,0.73027,0.00083,0.471983,    ,    ,action_values : ,-0.151853,1.1257,0.0003,    ,    ,Mass : ,1199.7620383499632,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
