ep : ,1,    ,ep_step : ,13,    ,state : ,67257.581531,0.973057,-30533.649383,0.731008,0.00029,2.093333,    ,"ecc,a,inc:",0.730989,24376.236392,26.99664,    ,"Reward,score : ",0.1985,0.376,    ,    ,Normalized_State: ,0.518802,8e-06,-0.235526,0.731008,0.00029,0.333164,    ,    ,action_values : ,0.034443,0.6915,0.0002,    ,    ,Mass : ,449.98612694567043,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,14,    ,state : ,67264.284959,5.494804,-30533.831201,0.730989,0.000442,2.267778,    ,"ecc,a,inc:",0.730936,24380.381761,26.990576,    ,"Reward,score : ",0.3842,0.7602,    ,    ,Normalized_State: ,0.518854,4.2e-05,-0.235528,0.730989,0.000442,0.360928,    ,    ,action_values : ,-0.015434,0.7247,0.0002,    ,    ,Mass : ,449.97996821987914,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,15,    ,state : ,67275.59609,12.521384,-30532.619119,0.730936,0.000656,2.442222,    ,"ecc,a,inc:",0.730845,24385.300257,26.976358,    ,"Reward,score : ",0.7234,1.4836,    ,    ,Normalized_State: ,0.518941,9.7e-05,-0.235518,0.730936,0.000656,0.388692,    ,    ,action_values : ,-0.194706,0.8834,0.0002,    ,    ,Mass : ,449.971077691028,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,16,    ,state : ,67291.966203,24.061023,-30525.16124,0.730844,0.000929,2.616667,    ,"ecc,a,inc:",0.730636,24391.456697,26.952243,    ,"Reward,score : ",1.2872,2.7707,    ,    ,Normalized_State: ,0.519067,0.000186,-0.235461,0.730844,0.000929,0.416455,    ,    ,action_values : ,-0.149665,0.7911,0.0002,    ,    ,Mass : ,449.95821460304336,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,17,    ,state : ,67322.501031,37.108517,-30513.744271,0.730635,0.001276,2.791111,    ,"ecc,a,inc:",0.730337,24397.267167,26.909042,    ,"Reward,score : ",2.0332,4.8039,    ,    ,Normalized_State: ,0.519303,0.000286,-0.235373,0.730635,0.001276,0.444219,    ,    ,action_values : ,-0.131983,0.9217,0.0002,    ,    ,Mass : ,449.94009813981387,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,18,    ,state : ,67362.072504,50.577805,-30486.377454,0.730335,0.001568,2.965556,    ,"ecc,a,inc:",0.729961,24402.900936,26.851281,    ,"Reward,score : ",2.6204,7.4244,    ,    ,Normalized_State: ,0.519608,0.00039,-0.235162,0.730335,0.001568,0.471983,    ,    ,action_values : ,-0.095119,0.9618,0.0002,    ,    ,Mass : ,449.9163018657858,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,19,    ,state : ,67409.478855,56.569715,-30447.207365,0.729959,0.001698,3.14,    ,"ecc,a,inc:",0.729577,24408.187354,26.793687,    ,"Reward,score : ",2.6226,10.047,    ,    ,Normalized_State: ,0.519974,0.000436,-0.234859,0.729959,0.001698,0.499747,    ,    ,action_values : ,-0.198111,0.9504,0.0002,    ,    ,Mass : ,449.8885120264044,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,20,    ,state : ,67457.179551,50.932871,-30408.250491,0.729576,0.001631,3.314444,    ,"ecc,a,inc:",0.729302,24412.302407,26.746872,    ,"Reward,score : ",2.0525,12.0995,    ,    ,Normalized_State: ,0.520342,0.000393,-0.234559,0.729576,0.001631,0.52751,    ,    ,action_values : ,-0.183332,1.0179,0.0002,    ,    ,Mass : ,449.86062841198003,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,21,    ,state : ,67491.783268,36.589387,-30374.633844,0.729301,0.001412,3.488889,    ,"ecc,a,inc:",0.72912,24415.582987,26.717777,    ,"Reward,score : ",1.3145,13.414,    ,    ,Normalized_State: ,0.520609,0.000282,-0.2343,0.729301,0.001412,0.555274,    ,    ,action_values : ,-0.231292,0.9976,0.0002,    ,    ,Mass : ,449.8366095505445,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,22,    ,state : ,67515.468644,20.98936,-30354.688245,0.729119,0.001159,3.663333,    ,"ecc,a,inc:",0.729026,24419.581794,26.702323,    ,"Reward,score : ",0.7461,14.16,    ,    ,Normalized_State: ,0.520791,0.000162,-0.234146,0.729119,0.001159,0.583038,    ,    ,action_values : ,0.048412,0.9599,0.0002,    ,    ,Mass : ,449.81824887635366,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
