ep : ,1,    ,ep_step : ,13,    ,state : ,129717.015756,-93.918418,96.856272,0.001669,-0.0008,4.862933,    ,"ecc,a,inc:",0.001854,42214.282219,0.059642,    ,"Reward,score : ",-0.0812,-0.1995,    ,    ,Normalized_State: ,1.000593,-0.000724,0.000747,0.001669,-0.0008,0.77396,    ,    ,action_values : ,0.201255,0.6254,0.0004,    ,    ,Mass : ,1116.8078206192292,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,14,    ,state : ,129717.283793,-94.113888,96.826676,0.00167,-0.000804,4.864678,    ,"ecc,a,inc:",0.001854,42214.190376,0.05962,    ,"Reward,score : ",0.005,-0.1945,    ,    ,Normalized_State: ,1.000595,-0.000726,0.000747,0.00167,-0.000804,0.774238,    ,    ,action_values : ,2.018334,-0.2559,0.0004,    ,    ,Mass : ,1116.8081172177929,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,15,    ,state : ,129717.14253,-94.029378,96.839601,0.001672,-0.000802,4.866422,    ,"ecc,a,inc:",0.001855,42214.204511,0.059705,    ,"Reward,score : ",-0.0164,-0.211,    ,    ,Normalized_State: ,1.000594,-0.000725,0.000747,0.001672,-0.000802,0.774515,    ,    ,action_values : ,1.164074,1.4083,0.0004,    ,    ,Mass : ,1116.8084138149043,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,16,    ,state : ,129717.164126,-94.358379,96.788244,0.001673,-0.000802,4.868167,    ,"ecc,a,inc:",0.001855,42214.085751,0.05968,    ,"Reward,score : ",0.0191,-0.1919,    ,    ,Normalized_State: ,1.000594,-0.000728,0.000747,0.001673,-0.000802,0.774793,    ,    ,action_values : ,2.173152,-0.3026,0.0004,    ,    ,Mass : ,1116.8087104101674,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,17,    ,state : ,129716.981639,-94.258914,96.803797,0.001674,-0.000799,4.869911,    ,"ecc,a,inc:",0.001852,42213.877397,0.059701,    ,"Reward,score : ",0.0884,-0.1035,    ,    ,Normalized_State: ,1.000593,-0.000727,0.000747,0.001674,-0.000799,0.77507,    ,    ,action_values : ,-2.927454,0.2514,0.0004,    ,    ,Mass : ,1116.8090070044536,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,18,    ,state : ,129716.662299,-94.341573,96.790318,0.001673,-0.000794,4.871656,    ,"ecc,a,inc:",0.00185,42213.81101,0.059772,    ,"Reward,score : ",0.0384,-0.0651,    ,    ,Normalized_State: ,1.00059,-0.000728,0.000747,0.001673,-0.000794,0.775348,    ,    ,action_values : ,-2.131783,0.9696,0.0004,    ,    ,Mass : ,1116.8093035975562,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,19,    ,state : ,129716.560761,-94.616184,96.745874,0.001671,-0.000793,4.8734,    ,"ecc,a,inc:",0.001847,42213.673346,0.059711,    ,"Reward,score : ",0.0664,0.0013,    ,    ,Normalized_State: ,1.000589,-0.00073,0.000746,0.001671,-0.000793,0.775626,    ,    ,action_values : ,-2.653594,-0.7846,0.0004,    ,    ,Mass : ,1116.809600189375,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,20,    ,state : ,129716.349865,-94.380746,96.784142,0.00167,-0.00079,4.875144,    ,"ecc,a,inc:",0.001846,42213.642321,0.059782,    ,"Reward,score : ",0.026,0.0273,    ,    ,Normalized_State: ,1.000588,-0.000728,0.000747,0.00167,-0.00079,0.775903,    ,    ,action_values : ,-1.826049,0.9823,0.0004,    ,    ,Mass : ,1116.8098967804758,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,21,    ,state : ,129716.302572,-94.657604,96.738391,0.001669,-0.000789,4.876889,    ,"ecc,a,inc:",0.001844,42213.511862,0.059849,    ,"Reward,score : ",0.0553,0.0826,    ,    ,Normalized_State: ,1.000587,-0.00073,0.000746,0.001669,-0.000789,0.776181,    ,    ,action_values : ,-2.81041,0.8937,0.0004,    ,    ,Mass : ,1116.8101933697997,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,22,    ,state : ,129716.102657,-94.916834,96.694953,0.001668,-0.000786,4.878633,    ,"ecc,a,inc:",0.001844,42213.423348,0.059805,    ,"Reward,score : ",0.0084,0.0911,    ,    ,Normalized_State: ,1.000586,-0.000732,0.000746,0.001668,-0.000786,0.776459,    ,    ,action_values : ,2.059032,-0.5357,0.0004,    ,    ,Mass : ,1116.8104899578555,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,23,    ,state : ,129715.96656,-94.746922,96.723497,0.001669,-0.000784,4.880378,    ,"ecc,a,inc:",0.001841,42213.246123,0.059768,    ,"Reward,score : ",0.0844,0.1755,    ,    ,Normalized_State: ,1.000585,-0.000731,0.000746,0.001669,-0.000784,0.776736,    ,    ,action_values : ,-2.677262,-0.451,0.0004,    ,    ,Mass : ,1116.8107865451486,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,24,    ,state : ,129715.695043,-94.601764,96.748008,0.001667,-0.00078,4.882122,    ,"ecc,a,inc:",0.001843,42213.380816,0.059701,    ,"Reward,score : ",-0.0573,0.1182,    ,    ,Normalized_State: ,1.000583,-0.00073,0.000746,0.001667,-0.00078,0.777014,    ,    ,action_values : ,0.054656,-0.911,0.0004,    ,    ,Mass : ,1116.8110831313186,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,25,    ,state : ,129715.901538,-94.339197,96.793423,0.001668,-0.000783,4.883867,    ,"ecc,a,inc:",0.001841,42213.336157,0.059628,    ,"Reward,score : ",0.0324,0.1506,    ,    ,Normalized_State: ,1.000584,-0.000728,0.000747,0.001668,-0.000783,0.777292,    ,    ,action_values : ,-2.005796,-1.0701,0.0004,    ,    ,Mass : ,1116.8113797161154,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,26,    ,state : ,129715.833289,-94.04755,96.844132,0.001667,-0.000782,4.885611,    ,"ecc,a,inc:",0.00184,42213.325888,0.059703,    ,"Reward,score : ",0.0137,0.1643,    ,    ,Normalized_State: ,1.000584,-0.000725,0.000747,0.001667,-0.000782,0.777569,    ,    ,action_values : ,-1.676938,1.1215,0.0004,    ,    ,Mass : ,1116.8116762992217,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,27,    ,state : ,129715.817763,-94.346845,96.79148,0.001666,-0.000782,4.887356,    ,"ecc,a,inc:",0.001838,42213.184114,0.059639,    ,"Reward,score : ",0.0565,0.2208,    ,    ,Normalized_State: ,1.000584,-0.000728,0.000747,0.001666,-0.000782,0.777847,    ,    ,action_values : ,3.110539,-0.8703,0.0004,    ,    ,Mass : ,1116.8119728802883,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,28,    ,state : ,129715.600388,-94.092722,96.836441,0.001665,-0.000779,4.8891,    ,"ecc,a,inc:",0.001841,42213.254258,0.05967,    ,"Reward,score : ",-0.0625,0.1583,    ,    ,Normalized_State: ,1.000582,-0.000726,0.000747,0.001665,-0.000779,0.778124,    ,    ,action_values : ,1.221538,0.3827,0.0004,    ,    ,Mass : ,1116.8122694606072,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,29,    ,state : ,129715.707489,-94.216812,96.814264,0.001668,-0.00078,4.890844,    ,"ecc,a,inc:",0.001838,42213.104925,0.05962,    ,"Reward,score : ",0.074,0.2323,    ,    ,Normalized_State: ,1.000583,-0.000727,0.000747,0.001668,-0.00078,0.778402,    ,    ,action_values : ,-2.597961,-0.6564,0.0004,    ,    ,Mass : ,1116.8125660391295,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,30,    ,state : ,129715.478744,-94.014056,96.850818,0.001666,-0.000777,4.892589,    ,"ecc,a,inc:",0.00184,42213.212409,0.059692,    ,"Reward,score : ",-0.053,0.1793,    ,    ,Normalized_State: ,1.000581,-0.000725,0.000747,0.001666,-0.000777,0.77868,    ,    ,action_values : ,0.209471,1.0481,0.0004,    ,    ,Mass : ,1116.8128626165578,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,31,    ,state : ,129715.643482,-94.301734,96.798295,0.001667,-0.000779,4.894333,    ,"ecc,a,inc:",0.001837,42213.016963,0.059654,    ,"Reward,score : ",0.0801,0.2594,    ,    ,Normalized_State: ,1.000582,-0.000727,0.000747,0.001667,-0.000779,0.778957,    ,    ,action_values : ,-3.098382,-0.4758,0.0004,    ,    ,Mass : ,1116.8131591920294,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,32,    ,state : ,129715.343852,-94.149564,96.826165,0.001666,-0.000775,4.896078,    ,"ecc,a,inc:",0.001837,42212.98492,0.059574,    ,"Reward,score : ",0.0065,0.2659,    ,    ,Normalized_State: ,1.00058,-0.000726,0.000747,0.001666,-0.000775,0.779235,    ,    ,action_values : ,2.252853,-1.3373,0.0004,    ,    ,Mass : ,1116.8134557665367,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,33,    ,state : ,129715.294635,-93.826883,96.886361,0.001666,-0.000774,4.897822,    ,"ecc,a,inc:",0.001836,42213.021182,0.059641,    ,"Reward,score : ",-0.0012,0.2647,    ,    ,Normalized_State: ,1.00058,-0.000724,0.000747,0.001666,-0.000774,0.779513,    ,    ,action_values : ,-1.280577,0.9536,0.0004,    ,    ,Mass : ,1116.813752340063,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,34,    ,state : ,129715.350509,-94.097295,96.83544,0.001665,-0.000775,4.899567,    ,"ecc,a,inc:",0.001839,42213.035871,0.059635,    ,"Reward,score : ",-0.0427,0.2221,    ,    ,Normalized_State: ,1.00058,-0.000726,0.000747,0.001665,-0.000775,0.77979,    ,    ,action_values : ,1.505331,-0.0675,0.0004,    ,    ,Mass : ,1116.8140489114571,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,35,    ,state : ,129715.372529,-94.074948,96.839712,0.001667,-0.000775,4.901311,    ,"ecc,a,inc:",0.001836,42212.854322,0.059591,    ,"Reward,score : ",0.0683,0.2904,    ,    ,Normalized_State: ,1.00058,-0.000726,0.000747,0.001667,-0.000775,0.780068,    ,    ,action_values : ,2.958612,-0.5749,0.0004,    ,    ,Mass : ,1116.814345481506,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,36,    ,state : ,129715.094111,-93.894608,96.87411,0.001667,-0.00077,4.903056,    ,"ecc,a,inc:",0.001836,42212.760285,0.059519,    ,"Reward,score : ",0.0308,0.3212,    ,    ,Normalized_State: ,1.000578,-0.000724,0.000747,0.001667,-0.00077,0.780346,    ,    ,action_values : ,2.67487,-1.0714,0.0004,    ,    ,Mass : ,1116.8146420504609,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,37,    ,state : ,129714.949831,-93.603752,96.930384,0.001667,-0.000768,4.9048,    ,"ecc,a,inc:",0.001834,42212.568194,0.059538,    ,"Reward,score : ",0.0615,0.3827,    ,    ,Normalized_State: ,1.000577,-0.000722,0.000748,0.001667,-0.000768,0.780623,    ,    ,action_values : ,2.687806,0.2374,0.0004,    ,    ,Mass : ,1116.8149386184662,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,38,    ,state : ,129714.655113,-93.681398,96.914924,0.001667,-0.000763,4.906544,    ,"ecc,a,inc:",0.001834,42212.673185,0.059478,    ,"Reward,score : ",-0.0289,0.3538,    ,    ,Normalized_State: ,1.000575,-0.000723,0.000748,0.001667,-0.000763,0.780901,    ,    ,action_values : ,-0.773478,-0.8395,0.0004,    ,    ,Mass : ,1116.815235185073,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,39,    ,state : ,129714.816314,-93.435173,96.963707,0.001667,-0.000766,4.908289,    ,"ecc,a,inc:",0.001834,42212.738721,0.059543,    ,"Reward,score : ",-0.0147,0.3391,    ,    ,Normalized_State: ,1.000576,-0.000721,0.000748,0.001667,-0.000766,0.781178,    ,    ,action_values : ,-1.04719,0.9308,0.0004,    ,    ,Mass : ,1116.8155317506119,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,40,    ,state : ,129714.917048,-93.700621,96.910879,0.001666,-0.000768,4.910033,    ,"ecc,a,inc:",0.001832,42212.540816,0.059547,    ,"Reward,score : ",0.0646,0.4037,    ,    ,Normalized_State: ,1.000577,-0.000723,0.000748,0.001666,-0.000768,0.781456,    ,    ,action_values : ,2.693545,0.0531,0.0004,    ,    ,Mass : ,1116.8158283138146,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,41,    ,state : ,129714.613418,-93.717945,96.907123,0.001666,-0.000763,4.911778,    ,"ecc,a,inc:",0.001833,42212.52628,0.059481,    ,"Reward,score : ",-0.0143,0.3894,    ,    ,Normalized_State: ,1.000574,-0.000723,0.000748,0.001666,-0.000763,0.781734,    ,    ,action_values : ,1.687319,-0.9576,0.0004,    ,    ,Mass : ,1116.8161248759595,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,42,    ,state : ,129714.590846,-93.447553,96.961988,0.001667,-0.000762,4.913522,    ,"ecc,a,inc:",0.00183,42212.379263,0.059531,    ,"Reward,score : ",0.0706,0.46,    ,    ,Normalized_State: ,1.000574,-0.000721,0.000748,0.001667,-0.000762,0.782011,    ,    ,action_values : ,-2.587819,0.6684,0.0004,    ,    ,Mass : ,1116.816421437228,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
